"","state","deaths in 2015","popul"
"1","Alabama",24767,5
"2","Alaska",2188,1
"3","Arizona",23927,6
"4","Arkansas",15555,3
"5","California",110783,37
"6","Colorado",15399,5
"7","Connecticut",11617,4
"8","DC",2230,1
"9","Delaware",3881,1
"10","Florida",84668,19
"11","Georgia",37751,10
"12","Hawaii",4520,1
"13","Idaho",5571,2
"14","Illinois",46537,13
"15","Indiana",27777,6
"16","Iowa",11984,3
"17","Kansas",10778,3
"18","Kentucky",22825,4
"19","Louisiana",21235,5
"20","Maine",6152,1
"21","Maryland",20269,6
"22","Massachusetts",21855,7
"23","Michigan",42423,10
"24","Minnesota",16290,5
"25","Mississippi",15572,3
"26","Missouri",27816,6
"27","Montana",4199,1
"28","Nebraska",6526,2
"29","Nevada",11998,3
"30","New Hampshire",5094,1
"31","New Jersey",29290,9
"32","New Mexico",7660,2
"33","New York",65341,19
"34","North Carolina",40015,10
"35","North Dakota",2476,1
"36","Ohio",52551,12
"37","Oklahoma",19678,4
"38","Oregon",14409,4
"39","Pennsylvania",54648,13
"40","Rhode Island",3955,1
"41","South Carolina",22156,5
"42","South Dakota",3055,1
"43","Tennessee",32436,6
"44","Texas",85703,25
"45","Utah",6660,3
"46","Vermont",2537,1
"47","Virginia",28729,8
"48","Washington",22917,7
"49","West Virginia",10372,2
"50","Wisconsin",21032,6
"51","Wyoming",2204,1
